host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,cluster
t,strict_14_with_grace_period,f,1,Haight Ashbury,37.76947,-12.24377,Apartment,Entire home/apt,2,1,1,0,Real Bed,30,160,97.0,10.0,10.0,10.0,10.0,10.0,9.0,120.0,1
t,moderate,f,41,Western Addition,37.77077,-12.24261,Condominium,Entire home/apt,2,1,1,1,Real Bed,30,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0,1
f,moderate,f,1,Outer Sunset,3.77569,-12.25088,Apartment,Entire home/apt,4,1,2,2,Real Bed,3,20,99.0,10.0,10.0,10.0,10.0,10.0,10.0,245.0,1
f,strict_14_with_grace_period,f,3,Western Addition,37.788759999999996,-12.242989999999999,Condominium,Entire home/apt,6,1,2,3,Real Bed,30,105,90.0,10.0,9.0,10.0,10.0,10.0,9.0,350.0,1
t,strict_14_with_grace_period,f,2,Mission,37.75908,-12.24182,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,120.0,1
f,strict_14_with_grace_period,f,2,Diamond Heights,37.746629999999996,-12.24426,Condominium,Private room,2,1,1,1,Real Bed,7,0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,1
t,moderate,f,1,Castro/Upper Market,37.756440000000005,-12.24408,Apartment,Private room,2,1,1,1,Real Bed,1,365,99.0,10.0,9.0,10.0,10.0,10.0,9.0,99.0,1
f,strict_14_with_grace_period,f,1,Noe Valley,37.75161,-12.24301,House,Entire home/apt,6,1,3,3,Real Bed,4,4,100.0,10.0,10.0,10.0,10.0,10.0,10.0,675.0,1
f,strict_14_with_grace_period,f,2,Bayview,37.72837,-12.23978,House,Entire home/apt,6,1,2,3,Real Bed,1,298,92.0,9.0,9.0,10.0,10.0,9.0,9.0,224.0,1
t,strict_14_with_grace_period,f,1,Castro/Upper Market,3.77661,-12.24352,Guest suite,Entire home/apt,3,1,0,2,Real Bed,3,276,97.0,10.0,10.0,10.0,10.0,10.0,9.0,165.0,1
t,strict_14_with_grace_period,t,3,Downtown/Civic Center,37.78007,-12.24194,Condominium,Entire home/apt,5,2,2,3,Real Bed,30,31,99.0,10.0,10.0,10.0,10.0,9.0,10.0,230.0,1
t,strict_14_with_grace_period,f,1,Castro/Upper Market,37.76512,-12.24268,Condominium,Entire home/apt,3,1,1,1,Real Bed,30,163,96.0,10.0,9.0,10.0,10.0,10.0,9.0,189.0,1
t,moderate,f,1,Chinatown,37.79234,-12.240689999999999,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,28,97.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0,1
f,strict_14_with_grace_period,f,21,Western Addition,37.77385,-12.24238,Apartment,Entire home/apt,4,1,2,2,Real Bed,30,15,81.0,8.0,9.0,9.0,10.0,9.0,9.0,135.0,0
f,strict_14_with_grace_period,f,3,Potrero Hill,37.759479999999996,-12.24035,House,Entire home/apt,1,1,1,1,Futon,2,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,400.0,1
f,strict_14_with_grace_period,f,1,Mission,37.754509999999996,-12.24165,Apartment,Entire home/apt,4,1,1,1,Real Bed,30,148,94.0,9.0,9.0,10.0,10.0,10.0,9.0,120.0,1
f,strict_14_with_grace_period,f,2,North Beach,3.77995,-1.22405,Serviced apartment,Entire home/apt,4,1,2,2,Real Bed,30,20,92.0,9.0,9.0,10.0,9.0,10.0,9.0,249.0,1
f,strict_14_with_grace_period,f,1,Bayview,37.71816,-1.22394,Guest suite,Entire home/apt,2,1,1,1,Real Bed,3,98,95.0,10.0,10.0,10.0,10.0,9.0,10.0,115.0,1
f,strict_14_with_grace_period,f,1,Excelsior,37.72424,-12.24339,Apartment,Private room,2,1,1,1,Real Bed,30,92,98.0,10.0,10.0,10.0,10.0,9.0,10.0,53.0,1
